spec,trinomial,context,raw.mat,temporal
489,41cp20,mort,quartzite,LC
490,41cp20,mort,quartzite,LC
553,41cp12,mort,quartzite,LC
554,41cp12,mort,quartzite,LC
555,41cp12,mort,quartzite,LC
556,41cp12,mort,chert,LC
558,41cp12,mort,quartzite,LC
559,41cp12,mort,quartzite,LC
562,41cp12,mort,quartzite,LC
565,41cp12,mort,chert,LC
591,41cp12,mort,chert,LC
598,41cp5,mort,chert,LC
645,41cp5,mort,chert,LC
646,41cp5,mort,chert,LC
647,41cp5,mort,quartzite,LC
648,41cp5,mort,chert,LC
649,41cp5,mort,quartzite,LC
650,41cp5,mort,chert,LC
651,41cp5,mort,chert,LC
652,41cp5,mort,chert,LC
653,41cp5,mort,chert,LC
654,41cp5,mort,chert,LC
655,41cp5,mort,chert,LC
656,41cp5,mort,chert,LC
657,41cp5,mort,chert,LC
658,41cp5,mort,chert,LC
659,41cp5,mort,chert,LC
660,41cp5,mort,chert,LC
661,41cp5,mort,chert,LC
665,41cp12,mort,quartzite,LC
677,41cp20,mort,chert,LC
678,41cp20,mort,quartzite,LC
an51-fig26a,41an51,not.mort,chert,MC
an51-fig26c,41an51,not.mort,chert,MC
an115-fig7,41an115,not.mort,chert,MC
cp220-fig11-12a,41cp220,not.mort,chert,LC
cp495-fig16h,41cp495,not.mort,chert,LC
cp495-fig16i,41cp495,not.mort,chert,LC
hc2-fig30a,hcreek2,not.mort,chert,MC
hc2-fig30b,hcreek2,not.mort,quartzite,MC
hc2-fig30c,hcreek2,not.mort,s.wd,MC
hc2-fig30d,hcreek2,not.mort,chert,MC
hc2-fig30f,hcreek2,not.mort,s.wd,MC
hc2-fig30h,hcreek2,not.mort,quartzite,MC
hc2-fig30i,hcreek2,not.mort,quartzite,MC
hc2-fig30l,hcreek2,not.mort,quartzite,MC
hc2-fig30m,hcreek2,not.mort,s.wd,MC
hc2-fig30n,hcreek2,not.mort,chert,MC
hs15-fig7.1r,41hs15,not.mort,chert,LC
hs15-fig7.1t,41hs15,not.mort,chert,LC
hs15-fig7.1u,41hs15,not.mort,chert,LC
hs15-fig7.1v,41hs15,not.mort,chert,LC
hs15-fig7.1w,41hs15,not.mort,chert,LC
hs15-fig7.1x,41hs15,not.mort,chert,LC
hs15-fig7.2b,41hs15,mort,chert,LC
hs15-fig7.2c,41hs15,mort,chert,LC
hs15-fig7.2d,41hs15,mort,chert,LC
hs15-fig7.2e,41hs15,mort,chert,LC
hs15-fig7.2f,41hs15,mort,chert,LC
hs15-fig7.2g,41hs15,mort,chert,LC
hs15-fig7.2m,41hs15,mort,chert,LC
hs15-fig7.2o,41hs15,mort,chert,LC
hs15-fig7.2q,41hs15,mort,chert,LC
hs15-fig7.2r,41hs15,mort,chert,LC
hs15-fig7.3a,41hs15,mort,chert,LC
hs15-fig7.3aa,41hs15,mort,chert,LC
hs15-fig7.3b,41hs15,mort,chert,LC
hs15-fig7.3bb,41hs15,mort,chert,LC
hs15-fig7.3cc,41hs15,mort,chert,LC
hs15-fig7.3d,41hs15,mort,chert,LC
hs15-fig7.3e,41hs15,mort,chert,LC
hs15-fig7.3f,41hs15,mort,chert,LC
hs15-fig7.3g,41hs15,mort,chert,LC
hs15-fig7.3h,41hs15,mort,chert,LC
hs15-fig7.3i,41hs15,mort,chert,LC
hs15-fig7.3j,41hs15,mort,chert,LC
hs15-fig7.3k,41hs15,mort,chert,LC
hs15-fig7.3l,41hs15,mort,chert,LC
hs15-fig7.3m,41hs15,mort,chert,LC
hs15-fig7.3n,41hs15,mort,chert,LC
hs15-fig7.3o,41hs15,mort,chert,LC
hs15-fig7.3p,41hs15,mort,chert,LC
hs15-fig7.3q,41hs15,mort,chert,LC
hs15-fig7.3r,41hs15,mort,chert,LC
hs15-fig7.3s,41hs15,mort,chert,LC
hs15-fig7.3t,41hs15,mort,chert,LC
hs15-fig7.3u,41hs15,mort,chert,LC
hs15-fig7.3w,41hs15,mort,chert,LC
hs15-fig7.3x,41hs15,mort,chert,LC
hs15-fig7.3y,41hs15,mort,chert,LC
hs15-fig7.3z,41hs15,mort,chert,LC
hs235-fig17,41hs235,mort,quartzite,LC
hs269-fig12j,41hs269,not.mort,chert,MC
na206-fig12a,41na206,not.mort,s.wd,HC
na206-fig12b,41na206,not.mort,s.wd,HC
na206-fig12d,41na206,not.mort,s.wd,HC
na206-fig12f,41na206,not.mort,chert,HC
na206-fig12g,41na206,not.mort,chert,HC
na49-1,41na49,mort,s.wd,MC
na49-10,41na49,mort,s.wd,MC
na49-11,41na49,mort,s.wd,MC
na49-12,41na49,mort,s.wd,MC
na49-13,41na49,mort,s.wd,MC
na49-137,41na49,not.mort,chert,MC
na49-14,41na49,mort,s.wd,MC
na49-149,41na49,not.mort,chert,MC
na49-176,41na49,not.mort,chert,MC
na49-187,41na49,not.mort,s.wd,MC
na49-195,41na49,not.mort,chert,MC
na49-2,41na49,mort,s.wd,MC
na49-271,41na49,not.mort,s.wd,MC
na49-3,41na49,mort,s.wd,MC
na49-33,41na49,not.mort,chert,MC
na49-4,41na49,mort,s.wd,MC
na49-5,41na49,mort,s.wd,MC
na49-587,41na49,not.mort,chert,MC
na49-616,41na49,not.mort,s.wd,MC
na49-7,41na49,mort,s.wd,MC
na49-734,41na49,not.mort,chert,MC
na49-8,41na49,mort,s.wd,MC
na49-9,41na49,mort,s.wd,MC
sa135-fig15b,41sa135,not.mort,chert,MC
sa135-fig15c,41sa135,not.mort,chert,MC
sa135-fig15g,41sa135,not.mort,chert,MC
sm193-fig1e,41sm193,not.mort,chert,MC
sm193-fig2a,41sm193,not.mort,chert,MC
sm193-fig2b,41sm193,not.mort,chert,MC
sm193-fig2e,41sm193,not.mort,chert,MC
sm193-fig2f,41sm193,not.mort,chert,MC
sm193-fig2g,41sm193,not.mort,chert,MC
sm195-fig8,41sm195,not.mort,chert,MC
sm442-fig19c,41sm442,not.mort,chert,MC
sm55-fig23,41sm55,not.mort,chert,MC
sy280-1,41sy280,not.mort,s.wd,LC
sy280-2,41sy280,not.mort,s.wd,LC
sy280-3,41sy280,not.mort,s.wd,LC
sy43-1,41sy43,not.mort,s.wd,LC
sy43-2,41sy43,not.mort,s.wd,LC
sy43-3,41sy43,not.mort,s.wd,LC
sy43-4,41sy43,not.mort,s.wd,LC
sy43-5,41sy43,not.mort,s.wd,LC
sy43-6,41sy43,not.mort,s.wd,LC
